Date,Location,Age Group,Gender,Food Type,Beverage Type,Quantity,Price ($),Total Price ($),Satisfaction (1-5),Comments
5 Jan 2023,Restaurant,25-34,Male,Italian,Soda,2,6.5,13,4,Enjoyed the meal!
10 Jan 2023,Cafe,18-24,Female,Vegetarian,Coffee,1,4.2,4.2,5,"Great ambiance, will come back!"
15 Jan 2023,Bar,35-44,Female,Fast Food,Beer,3,15.75,47.25,3,Average experience
20 Jan 2023,Home,45-54,Male,Mexican,Water,4,0,0,4,Homemade tacos were delicious!
25 Jan 2023,Restaurant,55-64,Male,Seafood,Wine,2,35,70,5,Excellent service and food quality
2 Feb 2023,Cafe,25-34,Female,Asian,Tea,1,3.75,3.75,4,Love their bubble tea!
9 Feb 2023,Home,18-24,Male,Pizza,Soda,2,4.5,9,3,"Decent pizza, nothing special"
14 Feb 2023,Restaurant,35-44,Female,Italian,Wine,2,40,80,5,Perfect date night spot
22 Feb 2023,Bar,45-54,Male,Fast Food,Beer,3,18.25,54.75,2,Crowded and noisy
28 Feb 2023,Home,55-64,Female,Mexican,Water,4,0,0,4,"Family dinner, everyone loved it"
7 Mar 2023,Cafe,25-34,Male,Vegetarian,Coffee,1,4.2,4.2,5,Best coffee in town!
12 Mar 2023,Restaurant,18-24,Female,Seafood,Wine,2,35,70,4,Good portion size
17 Mar 2023,Bar,35-44,Female,Asian,Beer,3,15.75,47.25,3,Average experience
25 Mar 2023,Home,45-54,Male,Italian,Water,4,0,0,4,Cooking at home tonight
1 Apr 2023,Restaurant,55-64,Male,Pizza,Soda,2,6.5,13,5,"Great pizza, friendly staff"
8 Apr 2023,Cafe,25-34,Female,Fast Food,Coffee,1,5,5,4,Quick bite before work
13 Apr 2023,Home,18-24,Male,Mexican,Beer,3,12,36,3,"Tacos were okay, not exceptional"
20 Apr 2023,Restaurant,35-44,Female,Asian,Tea,1,3.5,3.5,4,Authentic flavors
27 Apr 2023,Bar,45-54,Male,Vegetarian,Wine,2,40,80,5,Expensive but worth it
5 May 2023,Home,55-64,Female,Seafood,Water,4,0,0,4,Fresh seafood from the market
12 May 2023,Cafe,25-34,Male,Italian,Coffee,1,4.2,4.2,4,Relaxing atmosphere
17 May 2023,Restaurant,18-24,Female,Fast Food,Soda,2,6.5,13,3,"Too greasy, but satisfying"
24 May 2023,Bar,35-44,Female,Mexican,Beer,3,15.75,47.25,2,"Slow service, cold food"
29 May 2023,Home,45-54,Male,Asian,Water,4,0,0,4,Trying out new recipes
5 Jun 2023,Restaurant,55-64,Male,Vegetarian,Wine,2,40,80,5,Anniversary celebration
12 Jun 2023,Cafe,25-34,Female,Seafood,Tea,1,3.5,3.5,4,Perfect for a light lunch
17 Jun 2023,Home,18-24,Male,Italian,Beer,3,12,36,3,Experimenting with homemade pasta
24 Jun 2023,Restaurant,35-44,Female,Pizza,Coffee,1,5,5,4,"Crispy crust, flavorful toppings"
29 Jun 2023,Bar,45-54,Male,Fast Food,Soda,2,6.5,13,5,Quick bite after work
5 Jul 2023,Home,55-64,Female,Mexican,Beer,3,18.25,54.75,4,Family barbecue
12 Jul 2023,Cafe,25-34,Male,Asian,Water,4,0,0,4,Healthy eating habits
17 Jul 2023,Restaurant,18-24,Female,Vegetarian,Wine,2,35,70,5,Impressive vegan options
24 Jul 2023,Bar,35-44,Female,Seafood,Tea,1,4.5,4.5,3,Overpriced for the portion size
29 Jul 2023,Home,45-54,Male,Italian,Coffee,1,4.2,4.2,4,Lazy Sunday brunch
5 Aug 2023,Restaurant,55-64,Male,Fast Food,Soda,2,6.5,13,5,Treat for the grandkids
12 Aug 2023,Cafe,25-34,Female,Mexican,Beer,3,15.75,47.25,4,Girls' night out
17 Aug 2023,Home,18-24,Male,Asian,Water,4,0,0,4,Cooking challenge with friends
24 Aug 2023,Restaurant,35-44,Female,Pizza,Wine,2,40,80,5,Anniversary dinner
29 Aug 2023,Bar,45-54,Male,Vegetarian,Tea,1,3.5,3.5,4,Surprisingly good meatless options
5 Sep 2023,Home,55-64,Female,Seafood,Coffee,1,5,5,4,Fresh catch from the fish market
12 Sep 2023,Cafe,25-34,Male,Italian,Soda,2,6.5,13,3,"Decent pasta, nothing special"
17 Sep 2023,Restaurant,18-24,Female,Fast Food,Beer,3,12,36,2,Disappointed with the service
24 Sep 2023,Bar,35-44,Female,Mexican,Water,4,0,0,4,Authentic flavors
29 Sep 2023,Home,45-54,Male,Asian,Wine,2,35,70,5,Relaxing evening with sushi
5 Oct 2023,Restaurant,55-64,Male,Vegetarian,Tea,1,4.5,4.5,4,Impressed by the variety
12 Oct 2023,Cafe,25-34,Female,Seafood,Coffee,1,4.2,4.2,4,"Cozy atmosphere, great seafood"
17 Oct 2023,Home,18-24,Male,Italian,Beer,3,15.75,47.25,3,Pizza night with friends
24 Oct 2023,Restaurant,35-44,Female,Pizza,Soda,2,6.5,13,4,Craving satisfied
29 Oct 2023,Bar,45-54,Male,Fast Food,Water,4,0,0,4,Grabbed a quick bite
5 Nov 2023,Home,55-64,Female,Mexican,Wine,2,40,80,5,Homemade enchiladas
12 Nov 2023,Cafe,25-34,Male,Asian,Tea,1,3.5,3.5,4,Authentic flavors
17 Nov 2023,Restaurant,18-24,Female,Vegetarian,Beer,3,15.75,47.25,3,Limited vegetarian options
24 Nov 2023,Bar,35-44,Female,Seafood,Coffee,1,5,5,4,"Fresh oysters, great ambiance"
29 Nov 2023,Home,45-54,Male,Italian,Soda,2,6.5,13,5,Comfort food at its finest
5 Dec 2023,Restaurant,55-64,Male,Fast Food,Beer,3,12,36,4,Treat for the grandkids
12 Dec 2023,Cafe,25-34,Female,Mexican,Water,4,0,0,4,Taco Tuesday with friends
17 Dec 2023,Home,18-24,Male,Asian,Wine,2,35,70,5,Celebrating a promotion
24 Dec 2023,Restaurant,35-44,Female,Pizza,Tea,1,4.5,4.5,4,Family dinner night
29 Dec 2023,Bar,45-54,Male,Vegetarian,Coffee,1,4.2,4.2,4,Surprisingly satisfying
5 Jan 2022,Home,55-64,Female,Seafood,Soda,2,6.5,13,3,Disappointed with portion size
12 Jan 2022,Cafe,25-34,Male,Italian,Beer,3,15.75,47.25,2,Overpriced for the quality
17 Jan 2022,Restaurant,18-24,Female,Fast Food,Water,4,0,0,4,Late-night cravings
24 Jan 2022,Bar,35-44,Female,Mexican,Wine,2,40,80,5,Date night with my husband
29 Jan 2022,Home,45-54,Male,Asian,Tea,1,3.5,3.5,4,Simple and satisfying
5 Feb 2022,Restaurant,55-64,Male,Vegetarian,Coffee,1,5,5,4,Healthy start to the day
12 Feb 2022,Cafe,25-34,Female,Seafood,Soda,2,6.5,13,5,Splurge meal with friends
17 Feb 2022,Home,18-24,Male,Italian,Beer,3,12,36,4,Homemade pasta night
24 Feb 2022,Restaurant,35-44,Female,Pizza,Water,4,0,0,4,Trying their new vegan pizza
2022-02-29,Bar,45-54,Male,Fast Food,Wine,2,35,70,5,Quick and tasty
6 Mar 2022,Home,55-64,Female,Mexican,Tea,1,4.5,4.5,4,Spicy but delicious
13 Mar 2022,Cafe,25-34,Male,Asian,Coffee,1,4.2,4.2,4,Great way to start the day
18 Mar 2022,Restaurant,18-24,Female,Vegetarian,Beer,3,15.75,47.25,3,Limited options for vegetarians
25 Mar 2022,Bar,35-44,Female,Seafood,Water,4,0,0,4,Fresh catch of the day
30 Mar 2022,Home,45-54,Male,Italian,Wine,2,40,80,5,Anniversary celebration
5 Apr 2022,Restaurant,55-64,Male,Fast Food,Tea,1,3.5,3.5,4,Quick lunch between meetings
12 Apr 2022,Cafe,25-34,Female,Mexican,Coffee,1,5,5,4,Guacamole was delicious
17 Apr 2022,Home,18-24,Male,Asian,Soda,2,6.5,13,5,Ordered in for movie night
24 Apr 2022,Restaurant,35-44,Female,Pizza,Beer,3,12,36,4,Family dinner night
29 Apr 2022,Bar,45-54,Male,Vegetarian,Water,4,0,0,4,Trying out meatless Monday
5 May 2022,Home,55-64,Female,Seafood,Wine,2,35,70,5,Perfect end to the week
