Player _ No,Team_id,Sport,Position,Points_Scored,Salary(USD),Age,Injury Status,Contract _end_date,Drafted Year
P621,A29185F,Basketball,Third Base,107,$4M,26,Healthy,03-14-2025,2016
P229,A95014F,Soccer,Catcher,183,$6M,31,Injured,08-11-2025,2020
P673,A21958F,Basketball,Defender,97,$10M,27,Healthy,10-01-2025,2019
P736,A69584F,Basketball,SF,93,$8M,30,Healthy,08-14-2026,2019
P865,A89670F,Basketball,PG,144,$8M,25,Healthy,12-31-2024,2016
P128,A88838F,Soccer,WR,204,$7M,26,Healthy,10-20-2024,2018
P433,A70658F,Basketball,Forward,137,$8M,29,Healthy,11-19-2024,2017
P909,A88850F,Soccer,RB,55,$4M,28,Injured,12-05-2025,2019
P145,A71607F,Soccer,CB,185,$4M,30,Healthy,07-07-2024,2020
P936,A41407F,Basketball,WR,128,$9M,26,Injured,08-22-2025,2021
P627,A22485F,Football,SF,157,$8M,28,Healthy,07-11-2026,2019
P581,A49034F,Soccer,Forward,74,$7M,28,Healthy,12-19-2024,2017
P154,A85939F,Soccer,Midfielder,43,$6M,29,Injured,11-05-2025,2017
P675,A16439F,Soccer,WR,49,$6M,31,Healthy,10-05-2024,2017
P679,A93680F,Soccer,Defender,128,$6M,25,Healthy,11-14-2025,2021
P733,A82185F,Basketball,Catcher,169,$6M,26,Healthy,01-09-2025,2017
P444,A25229F,Baseball,Midfielder,115,$5M,26,Healthy,04-19-2025,2020
P279,A65820F,Baseball,Goalkeeper,119,$4M,27,Healthy,10-30-2025,2018
P910,A22755F,Baseball,PG,47,$7M,27,Injured,09-02-2025,2022
P204,A21552F,Football,RB,32,$9M,29,Injured,09-30-2024,2019
P680,A64999F,Soccer,Goalkeeper,187,$6M,27,Healthy,03-02-2026,2020
P799,A77954F,Baseball,Third Base,47,$9M,31,Injured,08-15-2025,2019
P567,A62112F,Basketball,First Base,72,$6M,27,Healthy,03-28-2025,2020
P499,A86442F,Soccer,TE,63,$5M,28,Injured,01-04-2025,2019
P174,A36008F,Football,CB,126,$10M,29,Healthy,02-22-2025,2017
P239,A69067F,Football,CB,38,$6M,30,Healthy,11-25-2024,2020
P754,A90290F,Football,C,166,$8M,27,Injured,03-21-2026,2021
P771,A57330F,Football,First Base,88,$11M,28,Injured,05-30-2025,2019
P757,A93421F,Baseball,DT,132,$5M,24,Healthy,12-05-2024,2018
P184,A79534F,Football,Pitcher,68,$10M,27,Healthy,09-28-2025,2020
P705,A35360F,Baseball,Outfield,56,$8M,29,Injured,05-19-2026,2018
P563,A80036F,Football,Midfielder,38,$7M,28,Healthy,06-18-2025,2020
P514,A93900F,Football,First Base,175,$7M,26,Healthy,03-20-2025,2017
P981,A72459F,Baseball,Pitcher,82,$11M,30,Healthy,10-15-2025,2021
P295,A73259F,Baseball,QB,29,$9M,28,Healthy,04-03-2025,2018
P856,A32467F,Football,Catcher,37,$8M,31,Injured,07-28-2026,2019
P207,A35740F,Baseball,PF,196,$8M,31,Injured,09-13-2026,2019
P264,A18404F,Baseball,Third Base,65,$7M,28,Healthy,12-25-2024,2017
P304,A22290F,Football,C,29,$7M,27,Healthy,02-14-2025,2018
P594,A98624F,Baseball,PG,119,$8M,30,Healthy,08-03-2025,2019
P787,A10366F,Baseball,SF,26,$4M,29,Healthy,07-17-2025,2019
P568,A38411F,Basketball,DT,105,$12M,29,Healthy,11-20-2024,2018
P487,A36449F,Football,Pitcher,204,$7M,24,Healthy,09-10-2024,2016
P957,A52370F,Soccer,PF,30,$8M,26,Healthy,10-01-2024,2018
P421,A25720F,Basketball,Defender,190,$6M,28,Healthy,04-25-2026,2023
P138,A67311F,Soccer,RB,60,$9M,27,Healthy,09-28-2024,2020
P535,A15752F,Basketball,Forward,25,$10M,27,Injured,10-03-2025,2020
P101,A87800F,Basketball,SG,110,$4M,27,Healthy,02-04-2026,2018
P481,A53380F,Football,PF,25,$5M,25,Injured,11-30-2024,2018
P223,A60644F,Basketball,C,100,$7M,31,Injured,06-09-2025,2021
P709,A21344F,Baseball,Goalkeeper,200,$6M,24,Healthy,02-28-2026,2019
